"Workload","Size","Algorithm","Platform","MeanMemoryUsage","MeanCPUUsage"
0.01,16,"CNN","CLOUD",9.01764705882353,11.7647058823529
0.01,32,"CNN","CLOUD",8.925,25
0.01,64,"CNN","CLOUD",9.03235294117647,38.2352941176471
0.1,16,"CNN","CLOUD",8.89705882352941,8.82352941176471
0.1,32,"CNN","CLOUD",8.88823529411765,5.88235294117647
0.1,64,"CNN","CLOUD",9.04411764705882,13.2352941176471
0.25,16,"CNN","CLOUD",9.00769230769231,19.2307692307692
0.25,32,"CNN","CLOUD",9.02173913043478,8.69565217391304
0.25,64,"CNN","CLOUD",9.02352941176471,23.5294117647059
0.5,16,"CNN","CLOUD",8.85,22.0588235294118
0.5,32,"CNN","CLOUD",8.80833333333333,14.5833333333333
0.5,64,"CNN","CLOUD",8.97058823529412,29.4117647058824
0.75,16,"CNN","CLOUD",8.859375,6.25
0.75,32,"CNN","CLOUD",8.784,4
0.75,64,"CNN","CLOUD",9.02941176470588,8.82352941176471
1,16,"CNN","CLOUD",8.81818181818182,24.7484848484848
1,32,"CNN","CLOUD",8.65714285714286,11.9047619047619
1,64,"CNN","CLOUD",8.94411764705882,13.2352941176471
