"Workload","Size","Algorithm","Platform","MeanMemoryUsage","MeanCPUUsage","MeanConsumption"
0,8,"CNN","EDGE",15.4,49.8529411764706,3.71470588235294
0,8,"KNN","EDGE",17.7,47.9911764705882,3.58823529411765
0,8,"RF","EDGE",32.8970588235294,47.9,3.71470588235294
0,32,"CNN","EDGE",31.3,50.7,3.60588235294118
0,32,"KNN","EDGE",31.4,45.9441176470588,3.57058823529412
0,32,"RF","EDGE",16.4617647058824,45.4176470588235,3.62941176470588
0.1,8,"CNN","EDGE",16.5970588235294,49.9117647058824,4.80882352941177
0.1,8,"KNN","EDGE",17.8882352941176,51.4323529411765,4.55294117647059
0.1,8,"RF","EDGE",33.1529411764706,57.5617647058824,4.77647058823529
0.1,32,"CNN","EDGE",17.6852941176471,51.7705882352941,4.13235294117647
0.1,32,"KNN","EDGE",53.2970588235294,61.2558823529412,5.09705882352941
0.1,32,"RF","EDGE",31.5235294117647,57.6058823529412,4.15588235294118
0.25,8,"CNN","EDGE",16.2911764705882,52.9970588235294,4.55882352941176
0.25,8,"KNN","EDGE",17.8264705882353,40.0941176470588,4.17647058823529
0.25,8,"RF","EDGE",33.0852941176471,46.2264705882353,4.48823529411765
0.25,32,"CNN","EDGE",16.3382352941176,46.3764705882353,3.84705882352941
0.25,32,"KNN","EDGE",51.6352941176471,51.4823529411765,4.6
0.25,32,"RF","EDGE",31.4735294117647,44.5058823529412,3.77058823529412
0.5,8,"CNN","EDGE",16.2558823529412,42.8882352941176,4.35294117647059
0.5,8,"KNN","EDGE",17.8411764705882,35.9764705882353,4.04411764705882
0.5,8,"RF","EDGE",33.0941176470588,38.6735294117647,4.30588235294118
0.5,32,"CNN","EDGE",16.2558823529412,30.1970588235294,3.97058823529412
0.5,32,"KNN","EDGE",51.7117647058824,44.4147058823529,4.31764705882353
0.5,32,"RF","EDGE",31.2970588235294,38.2323529411765,3.6
0.75,8,"CNN","EDGE",16.2352941176471,33.8823529411765,4.25588235294118
0.75,8,"KNN","EDGE",17.7823529411765,34.8205882352941,3.98235294117647
0.75,8,"RF","EDGE",33.1441176470588,45.1441176470588,4.24117647058824
0.75,32,"CNN","EDGE",16.2323529411765,38.6411764705882,3.50882352941176
0.75,32,"KNN","EDGE",51.7676470588235,35.3382352941176,3.85588235294118
0.75,32,"RF","EDGE",31.4147058823529,35.5852941176471,3.53823529411765
1,8,"CNN","EDGE",16.2794117647059,36.6617647058824,4.20588235294118
1,8,"KNN","EDGE",17.7235294117647,34.1382352941176,3.91176470588235
1,8,"RF","EDGE",33.1235294117647,31.6147058823529,4.13529411764706
1,32,"CNN","EDGE",16.2294117647059,35.5882352941176,3.48235294117647
1,32,"KNN","EDGE",51.5647058823529,35.2794117647059,3.73529411764706
1,32,"RF","EDGE",31.3205882352941,34.5911764705882,3.46764705882353
