"","Platform","Algorithm","Size","Workload","meanNetworkDelay","meanResponseTime"
"1","EDGE","CNN",8,0.1,181.494434909605,181.637572849474
"2","EDGE","CNN",8,0.25,9.42853233440984,9.56765927100438
"3","EDGE","CNN",8,0.5,6.10368149563299,6.24494232447909
"4","EDGE","CNN",8,0.75,5.52618092351594,5.66928342017007
"5","EDGE","CNN",8,1,4.42032243433355,4.57215986699399
"6","EDGE","CNN",32,0.1,190.501291130629,190.642351513314
"7","EDGE","CNN",32,0.25,14.822054187223,14.9597073216896
"8","EDGE","CNN",32,0.5,6.14854390321561,6.29114890109372
"9","EDGE","CNN",32,0.75,4.07738839036869,4.22218250174977
"10","EDGE","CNN",32,1,5.30903328448146,5.46454711038205
"11","EDGE","CNN",64,0.1,223.795468393152,223.948771939514
"12","EDGE","CNN",64,0.25,4.64488564920947,4.79557632033138
"13","EDGE","CNN",64,0.5,6.89182995653524,7.04568936956138
"14","EDGE","CNN",64,0.75,6.59708436295873,6.75363299240686
"15","EDGE","CNN",64,1,3.58031797269587,3.73479220475398
"16","EDGE","CNN",128,0.1,314.935192191963,315.155514670049
"17","EDGE","CNN",128,0.25,77.0881157247642,77.304814007959
"18","EDGE","CNN",128,0.5,10.2497239431164,10.4684537595577
"19","EDGE","CNN",128,0.75,7.15378730828897,7.37247010055949
"20","EDGE","CNN",128,1,6.35344645906423,6.57717358361164
"21","EDGE","KNN",8,0.1,6.87543543389384,6.90640430800592
"22","EDGE","KNN",8,0.25,6.0603408673696,6.09238849124539
"23","EDGE","KNN",8,0.5,6.07798051637618,6.11088681629586
"24","EDGE","KNN",8,0.75,5.70990632890367,5.74628084219924
"25","EDGE","KNN",8,1,3.47700234013019,3.51449493955885
"26","EDGE","KNN",32,0.1,271.649067592209,271.865899935074
"27","EDGE","KNN",32,0.25,19.1102280774282,19.3270856107677
"28","EDGE","KNN",32,0.5,10.8321403044374,11.0485122864501
"29","EDGE","KNN",32,0.75,7.11436339764579,7.33341270611179
"30","EDGE","KNN",32,1,0.56083519624685,0.781052811205462
"31","EDGE","RF",8,0.1,59.0550050150134,59.1626713270462
"32","EDGE","RF",8,0.25,7.56536791195347,7.67280846408101
"33","EDGE","RF",8,0.5,6.2835420481395,6.39448134394415
"34","EDGE","RF",8,0.75,6.93225479940367,7.04527646207227
"35","EDGE","RF",8,1,5.41294638863983,5.52516040611632
"36","EDGE","RF",32,0.1,55.1821140915477,55.2916951435854
"37","EDGE","RF",32,0.25,15.0625440426833,15.1721375622443
"38","EDGE","RF",32,0.5,6.21954033784239,6.32949164500141
"39","EDGE","RF",32,0.75,11.7034237915409,11.8162995555003
"40","EDGE","RF",32,1,5.25381644286602,5.36883680349661
"41","EDGE","RF",64,0.1,68.1238012957915,68.2349063356748
"42","EDGE","RF",64,0.25,6.09682869113255,6.20120057228067
"43","EDGE","RF",64,0.5,5.77320829720671,5.88471394326518
"44","EDGE","RF",64,0.75,5.18832683811668,5.29844687879875
"45","EDGE","RF",64,1,4.53853331440156,4.65099810176632
